price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
12399,2011,buick,excellent,6 cylinders,gas,99023,clean,automatic,fwd,full-size,SUV,white,ca
18500,2012,mercedes-benz,like new,6 cylinders,diesel,125000,clean,automatic,rwd,full-size,truck,white,pa
7500,2010,toyota,excellent,4 cylinders,gas,76700,clean,manual,fwd,compact,coupe,blue,ca
3775,2005,volkswagen,good,5 cylinders,gas,191236,clean,automatic,fwd,compact,sedan,grey,ca
14500,2012,honda,good,4 cylinders,gas,71102,clean,automatic,fwd,mid-size,sedan,grey,ca
39999,2014,toyota,excellent,6 cylinders,gas,62410,clean,automatic,4wd,full-size,pickup,blue,ca
9980,2014,ford,excellent,4 cylinders,gas,124725,clean,automatic,fwd,full-size,SUV,green,fl
11900,2006,gmc,good,8 cylinders,gas,106100,clean,automatic,rwd,full-size,truck,green,mi
6400,2011,honda,excellent,6 cylinders,gas,157243,clean,automatic,fwd,full-size,mini-van,red,ny
33900,2020,ram,good,8 cylinders,gas,4658,clean,automatic,4wd,full-size,truck,black,ia
39750,1966,chevrolet,excellent,8 cylinders,gas,122300,clean,automatic,rwd,full-size,coupe,white,mi
33000,2017,ram,like new,6 cylinders,gas,17110,clean,automatic,4wd,full-size,pickup,white,ca
2450,2011,jeep,excellent,4 cylinders,gas,128408,clean,automatic,4wd,mid-size,SUV,white,mn
18990,2014,ford,excellent,8 cylinders,gas,84099,clean,automatic,rwd,mid-size,coupe,silver,fl
52900,2015,ford,excellent,8 cylinders,diesel,106000,clean,automatic,4wd,full-size,truck,white,ga
18900,2015,ford,good,6 cylinders,gas,112165,clean,automatic,rwd,full-size,truck,white,al
9599,2013,chevrolet,excellent,6 cylinders,gas,106206,clean,automatic,fwd,full-size,sedan,white,fl
5995,2006,chrysler,excellent,4 cylinders,gas,74075,clean,automatic,fwd,compact,convertible,white,pa
15995,2013,audi,excellent,6 cylinders,gas,143217,clean,automatic,4wd,mid-size,sedan,black,ct
39995,2016,chevrolet,excellent,8 cylinders,gas,71324,clean,automatic,4wd,full-size,pickup,black,tx
8250,2012,honda,excellent,4 cylinders,gas,35187,rebuilt,automatic,fwd,compact,sedan,black,ma
6990,2006,toyota,excellent,6 cylinders,gas,199286,clean,automatic,4wd,full-size,SUV,silver,va
39995,2015,gmc,good,8 cylinders,diesel,162210,clean,automatic,4wd,full-size,truck,blue,mi
17900,2020,chevrolet,excellent,4 cylinders,gas,17500,rebuilt,automatic,4wd,compact,SUV,black,mi
6250,2012,ford,excellent,4 cylinders,gas,129871,clean,automatic,fwd,mid-size,sedan,silver,tx
27998,2014,ford,excellent,8 cylinders,gas,86761,clean,automatic,4wd,mid-size,truck,red,wi
24995,2019,chevrolet,excellent,4 cylinders,gas,23605,clean,automatic,fwd,full-size,sedan,blue,id
7200,2011,buick,excellent,6 cylinders,gas,92071,clean,automatic,fwd,full-size,sedan,blue,pa
